objectid,nuts118cd,nuts118nm,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
1,UKC,North East (England),417313,600358,-1.72889996,55.2970314,8592429287.62657,1008434.87425822
2,UKD,North West (England),350015,506280,-2.7723701,54.44945145,14164090910.2148,2075324.37612219
3,UKE,Yorkshire and The Humber,446903,448736,-1.28711998,53.93264008,15409123121.6635,1385386.03264333
4,UKF,East Midlands (England),477660,322635,-0.84966999,52.79571915,15643272171.2823,1332317.07520696
5,UKG,West Midlands (England),386294,295477,-2.2035799,52.55696869,13003737776.9054,953901.39278175
6,UKH,East of England,571074,263229,0.50414598,52.24066925,19135563179.4438,2646572.58945865
7,UKI,London,517516,178392,-0.30864,51.49227142,1573509526.25913,420199.991695415
8,UKJ,South East (England),470062,172924,-0.99311,51.4509697,19088755549.6632,2443291.79702768
9,UKK,South West (England),285015,102567,-3.63343,50.81119156,23851369716.4038,3400380.37929203
10,UKL,Wales,263406,242881,-3.99415994,52.06740952,20782129945.0881,3082420.90276995
11,UKM,Scotland,277746,700060,-3.97091007,56.1774292,78803239370.5106,18868181.9349477
12,UKN,Northern Ireland,86601,535325,-6.85481024,54.61494064,14333431706.5787,1131177.09054888
