Title,Link,Heritage Category,Grade,Location
RAVENSWORTH CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1025190,Listing,II*,RAVENSWORTH CASTLE  CROSS LANE  Lamesley  Gateshead
AMBERLEY CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1027499,Listing,I,AMBERLEY CASTLE  CHURCH STREET  Amberley  Horsham  West Sussex
ARUNDEL CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1027926,Listing,I,ARUNDEL CASTLE  ARUNDEL CASTLE  Arundel  Arun  West Sussex
BOLEBROKE CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1028285,Listing,II*,BOLEBROKE CASTLE  Hartfield  Wealden  East Sussex
THE CASTLE GATEWAY AND WALLS ADJOINING TO THE EAST AND SOUTH,https://HistoricEngland.org.uk/listing/the-list/list-entry/1029253,Listing,I,THE CASTLE GATEWAY AND WALLS ADJOINING TO THE EAST AND SOUTH  QUARRY STREET  GUILDFORD  Guildford  Surrey
Framlingham Castle and Red House,https://HistoricEngland.org.uk/listing/the-list/list-entry/1030383,Listing,I,Castle Street  Framlingham  Suffolk  IP13 9BP  Framlingham  East Suffolk  Suffolk
CLARE CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1031764,Listing,II*,CLARE CASTLE  Clare  West Suffolk  Suffolk
Bungay Castle,https://HistoricEngland.org.uk/listing/the-list/list-entry/1034404,Listing,I,Earsham Street and Castle Orchard  Bungay  Suffolk  NR35 1DD  Bungay  East Suffolk  Suffolk
CARISBROOKE CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1034657,Listing,I,CARISBROOKE CASTLE  Newport  Isle of Wight
CURTAIN WALLS AND GATEWAY AT KINGSBURY HALL,https://HistoricEngland.org.uk/listing/the-list/list-entry/1034721,Listing,II,CURTAIN WALLS AND GATEWAY AT KINGSBURY HALL  Kingsbury  North Warwickshire  Warwickshire
HARTSHILL CASTLE RUINS,https://HistoricEngland.org.uk/listing/the-list/list-entry/1034748,Listing,II,HARTSHILL CASTLE RUINS  CASTLE ROAD  Hartshill  North Warwickshire  Warwickshire
RUINS OF CASTLE 160 YARDS WEST OF CHURCH OF ST JOHN THE BAPTIST,https://HistoricEngland.org.uk/listing/the-list/list-entry/1035269,Listing,II,RUINS OF CASTLE 160 YARDS WEST OF CHURCH OF ST JOHN THE BAPTIST  Baginton  Warwick  Warwickshire
KENILWORTH CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1035327,Listing,I,KENILWORTH CASTLE  Kenilworth  Warwick  Warwickshire
"CAVERSWALL CASTLE, SCREEN WALLS, GATEHOUSE AND BRIDGE",https://HistoricEngland.org.uk/listing/the-list/list-entry/1038000,Listing,I,CAVERSWALL CASTLE  SCREEN WALLS  GATEHOUSE AND BRIDGE  CAVERSWALL ROAD  Caverswall  Staffordshire Moorlands  Staffordshire
ECCLESHALL CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1039062,Listing,II*,ECCLESHALL CASTLE  CASTLE STREET  Eccleshall  Stafford  Staffordshire
LEEDS CASTLE,https://HistoricEngland.org.uk/listing/the-list/list-entry/1039919,Listing,I,LEEDS CASTLE  Broomfield and Kingswood  Maidstone  Kent
BOTHAL CASTLE REMAINS OF CURTAIN WALL TO SOUTH OF RESIDENTIAL BLOCK,https://HistoricEngland.org.uk/listing/the-list/list-entry/1041365,Listing,I,BOTHAL CASTLE REMAINS OF CURTAIN WALL TO SOUTH OF RESIDENTIAL BLOCK  BOTHAL VILLAGE  BOTHAL  Ashington  Northumberland
